field_set,fields,n_queries_evaluated,k,map
single:Other_descriptions,Other_descriptions,61,5,0.005464
single:Other_descriptions,Other_descriptions,61,10,0.005464
single:Other_descriptions,Other_descriptions,61,20,0.006955
single:Other_descriptions,Other_descriptions,61,50,0.006955
single:arm color,arm color,61,1,0.032787
single:arm color,arm color,61,5,0.050273
single:arm color,arm color,61,10,0.064422
single:arm color,arm color,61,20,0.088874
single:arm color,arm color,61,50,0.100424
single:diameter_cm,diameter_cm,61,1,0.000000
single:diameter_cm,diameter_cm,61,5,0.000000
single:diameter_cm,diameter_cm,61,10,0.000000
single:diameter_cm,diameter_cm,61,20,0.000000
single:diameter_cm,diameter_cm,61,50,0.000000
single:disk color,disk color,61,1,0.065574
single:disk color,disk color,61,5,0.129235
single:disk color,disk color,61,10,0.142291
single:disk color,disk color,61,20,0.155159
single:disk color,disk color,61,50,0.167040
single:madreporite_descriptions,madreporite_descriptions,61,1,0.032787
single:madreporite_descriptions,madreporite_descriptions,61,5,0.040984
single:madreporite_descriptions,madreporite_descriptions,61,10,0.051698
single:madreporite_descriptions,madreporite_descriptions,61,20,0.071334
single:madreporite_descriptions,madreporite_descriptions,61,50,0.081485
single:num_apparent_arms,num_apparent_arms,61,1,0.098361
single:num_apparent_arms,num_apparent_arms,61,5,0.178689
single:num_apparent_arms,num_apparent_arms,61,10,0.203695
single:num_apparent_arms,num_apparent_arms,61,20,0.221266
single:num_apparent_arms,num_apparent_arms,61,50,0.225933
single:num_arms,num_arms,61,1,0.000000
single:num_arms,num_arms,61,5,0.000000
single:num_arms,num_arms,61,10,0.000000
single:num_arms,num_arms,61,20,0.000000
single:num_arms,num_arms,61,50,0.000000
single:reticulation_descriptions,reticulation_descriptions,61,1,0.065574
single:reticulation_descriptions,reticulation_descriptions,61,5,0.091803
single:reticulation_descriptions,reticulation_descriptions,61,10,0.105159
single:reticulation_descriptions,reticulation_descriptions,61,20,0.117956
single:reticulation_descriptions,reticulation_descriptions,61,50,0.126184
single:rosette_descriptions,rosette_descriptions,61,1,0.081967
single:rosette_descriptions,rosette_descriptions,61,5,0.112842
single:rosette_descriptions,rosette_descriptions,61,10,0.135561
single:rosette_descriptions,rosette_descriptions,61,20,0.164785
single:rosette_descriptions,rosette_descriptions,61,50,0.168625
single:sex,sex,61,1,0.000000
single:sex,sex,61,5,0.000000
single:sex,sex,61,10,0.000000
single:sex,sex,61,20,0.000000
single:sex,sex,61,50,0.000000
single:stripe_descriptions,stripe_descriptions,61,1,0.000000
single:stripe_descriptions,stripe_descriptions,61,5,0.023224
single:stripe_descriptions,stripe_descriptions,61,10,0.027908
single:stripe_descriptions,stripe_descriptions,61,20,0.030821
single:stripe_descriptions,stripe_descriptions,61,50,0.035396
single:volume_ml,volume_ml,61,1,0.000000
single:volume_ml,volume_ml,61,5,0.000000
single:volume_ml,volume_ml,61,10,0.000000
single:volume_ml,volume_ml,61,20,0.000000
single:volume_ml,volume_ml,61,50,0.000000
text_only,Last location;Other_descriptions;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;stripe_descriptions,61,1,0.016393
text_only,Last location;Other_descriptions;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;stripe_descriptions,61,5,0.085792
text_only,Last location;Other_descriptions;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;stripe_descriptions,61,10,0.113856
text_only,Last location;Other_descriptions;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;stripe_descriptions,61,20,0.142579
text_only,Last location;Other_descriptions;madreporite_descriptions;reticulation_descriptions;rosette_descriptions;stripe_descriptions,61,50,0.149028
