2025-12-05 15:40:21 | INFO | starBoard.search.engine | sid=20251205-154000-195ec5 | rank_top qid=SP23A i=9 gid=Pringle score=0.666 k=12 location=1.000 madreporite_color=1.000 num_apparent_arms=0.368 num_total_arms=1.000 overall_color=0.602 reticulation_order=1.000 rosette_color=0.000 short_arm_code=0.500 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.034 unusual_observation=0.890
2025-12-05 15:40:21 | INFO | starBoard.search.engine | sid=20251205-154000-195ec5 | rank_top qid=SP23A i=10 gid=Cookie score=0.649 k=11 location=1.000 madreporite_color=1.000 num_apparent_arms=0.368 num_total_arms=1.000 reticulation_order=1.000 rosette_color=0.000 short_arm_code=0.402 stripe_color=0.602 stripe_order=1.000 tip_to_tip_size_cm=0.027 unusual_observation=0.745
2025-12-05 15:40:21 | INFO | starBoard.data.id_registry | sid=20251205-154000-195ec5 | list_ids target=Gallery count=55 (exclude_silent=False)
2025-12-05 15:40:21 | INFO | starBoard.data.id_registry | sid=20251205-154000-195ec5 | list_ids target=Queries count=54 (exclude_silent=False)
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Pluot count=3
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Salmonberry count=10
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Miso count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Macaron count=3
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Taco count=4
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Popcorn count=8
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Granola count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Hummus count=6
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Pringle count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Cookie count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Jello count=6
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Cheeto count=7
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Chip count=8
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Frito count=4
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Gusher count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Pop Tart count=7
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Bento count=7
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Edamame count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Almond count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Funnel Cake count=7
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Triscuit count=4
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Skittle count=7
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Ube count=6
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Gummy Bear count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Cracker count=6
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Butter Nut count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Cherry count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Cashew count=10
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Torta count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Rice Cake count=8
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Peanut Butter count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Goldfish count=7
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Sammy count=2
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Goji count=6
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Pudding count=3
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Empanada count=9
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Salsa count=8
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Ritz count=6
